Gene Id	Gene Name	Sample_78648	Sample_78650	Sample_78652	Sample_78654	Sample_78647	Sample_78649	Sample_78651	Sample_78653
Hist1h2bn	Hist1h2bn	0	0	0	0	0	3	0	0
Hist1h2bp	Hist1h2bp	1	3	1	0	1	1	0	0
Hist1h2bq	Hist1h2bq	0	0	0	0	0	0	0	0
Hist1h2br	Hist1h2br	0	0	0	0	0	0	0	0
Hist1h3a	Hist1h3a	2	1	0	0	2	2	2	1
Hist1h3b	Hist1h3b	0	0	0	0	0	0	0	0
Hist1h3c	Hist1h3c	0	1	0	0	0	0	4	0
Hist1h3d	Hist1h3d	2	0	0	0	0	2	0	0
Hist1h3e	Hist1h3e	4	0	4	2	19	21	18	22
Hist1h3f	Hist1h3f	0	0	0	6	16	0	2	6
Hist1h3g	Hist1h3g	0	0	0	0	0	0	0	0
Hist1h3h	Hist1h3h	0	0	2	1	0	1	0	0
Hist1h3i	Hist1h3i	1	0	1	0	6	0	2	4
Hist1h4a	Hist1h4a	0	2	0	2	34	12	35	25
Hist1h4b	Hist1h4b	2	0	3	3	27	14	6	10
Hist1h4c	Hist1h4c	7	5	3	5	53	43	52	31
Hist1h4d	Hist1h4d	4	2	6	8	212	183	230	229
Hist1h4f	Hist1h4f	2	0	0	1	6	10	15	17
Hist1h4h	Hist1h4h	21	23	22	26	119	101	127	135
Hist1h4i	Hist1h4i	48	44	41	52	27	18	16	16
Hist1h4j	Hist1h4j	0	2	3	0	11	7	4	0
Hist1h4k	Hist1h4k	2	0	1	7	45	31	39	34
Hist1h4m	Hist1h4m	1	2	1	6	9	3	6	3
Hist1h4n	Hist1h4n	0	0	0	0	0	0	0	0
Hist2h2aa1	Hist2h2aa1	0	0	0	0	0	0	0	0
Hist2h2aa2	Hist2h2aa2	0	0	0	0	0	0	0	0
Hist2h2ab	Hist2h2ab	0	1	3	0	42	64	47	43
Hist2h2ac	Hist2h2ac	1	2	2	1	91	53	65	62
Hist2h2bb	Hist2h2bb	6	5	8	21	218	126	191	188
Hist2h2be	Hist2h2be	354	330	343	391	47	23	46	41
Hist2h3b	Hist2h3b	1	0	0	1	0	0	2	1
Hist2h3c1	Hist2h3c1	79	78	90	105	16	8	3	6
Hist2h3c2	Hist2h3c2	24	22	14	39	1	1	1	1
Hist2h4	Hist2h4	1	4	7	5	63	61	66	76
Hist3h2a	Hist3h2a	1290	1136	1293	1463	455	269	370	421
Hist3h2ba	Hist3h2ba	599	526	664	704	75	97	76	64
Hist3h2bb-ps	Hist3h2bb-ps	2	5	9	7	9	8	5	2
Hist4h4	Hist4h4	37	28	52	34	177	156	244	249
Hivep1	Hivep1	1716	1515	1925	2104	1971	1724	2384	2644
Hivep2	Hivep2	1794	1510	1799	2170	2570	2543	3803	4352
Hivep3	Hivep3	368	387	364	496	771	679	920	1185
Hjurp	Hjurp	353.669	285.725	400.863	354.217	146.455	147.918	199.627	194.45
Hk1	Hk1	6793	6007.99	6662	8720	3853	4004	6569	6288
Hk2	Hk2	237	180	299	271	102	99	142	75
Hk3	Hk3	31.9964	37	26.9967	45.996	15	13.9998	11.9985	23.9973
Hkdc1	Hkdc1	9	10	10	16	16	4	11	6
Hlcs	Hlcs	598	516	604	749	444	270	474	490
Hlf	Hlf	4827	4068	4801	6123	1068	715	936	1161
Hltf	Hltf	823	714	795	975	598	533	817	787
Hlx	Hlx	10	11	12	16	15	6	4	6
Hmbox1	Hmbox1	307	289	335	330	930	751	1041	1217
Hmbs	Hmbs	616	506	625	705	80	84	115	82
Hmcn1	Hmcn1	215	192	232	242	325	373	328	449
Hmg20a	Hmg20a	4181	3405	4238	5029	982	750	1119	1110
Hmg20b	Hmg20b	330	313	376	474	127	121	71	140
Hmga1	Hmga1	2907.01	1833.09	2835.48	3552.56	1510	904	1058.72	1366
Hmga1-rs1	Hmga1-rs1	3819.99	3638.91	4571.52	5124.44	0	0	0.280093	0
Hmga2	Hmga2	464	374	553	560	64	67	104	93
